gid,id,nm_bai,nome
674,400046603,,Gleba
681,400008292,Palmares,Cjr Palmares
512,400045918,Cristina Continuação,Vila Cristina Continuação
693,400046663,Gleba,Gleba
702,400021492,São Tomaz,Vila São Tomaz
726,400003392,Morada da Bosque,Res. Morada do Bosque
269,400002992,Maria Lourença,Res. Maria Lourença
270,400046091,Atenas,Jd. Atenas
271,400046019,das Paineiras III Etapa,Parque das Paineiras III Etapa
272,400010392,Feliz,Feliz
464,400046485,Gardênia,Jd. Gardênia
285,400020692,Rezende,Vila Rezende
765,400018492,Oeste,Setor Oeste
767,400046635,,Gleba
784,400046682,,Gleba
810,400046551,,Gleba
813,400027492,Oeste Industrial,Parque Oeste Industrial
846,400046379,,Gleba
864,400046665,,Gleba
875,400033192,Jardim Goiás,Jd. Goiás
9,400046691,,Gleba
911,400045995,Santa Rita - 7a etapa,Cond. Santa Rita - 7a etapa
920,400046416,Condomínio: Residencial Terra Nova II,Gleba
922,400006292,Goiânia 2,Goiânia 2
925,400046584,Estrela D'alva,Res. Estrela D'alva
942,400046448,São Geraldo,Res. São Geraldo
952,400046721,,Gleba
10,400046692,,Gleba
956,400046695,,Gleba
175,400046296,,Gleba
26,400046651,Paulo Estrela,Res. Paulo Estrela
27,400046185,Santa Rita 5ª Etapa,Cond. Santa Rita 4a Etapa
994,400033792,Bueno,Setor Bueno
995,400034192,Jardim América,Jardim América
35,400046471,,Gleba
1006,400046405,,Gleba
36,400046470,,Gleba
1025,400046734,,Gleba
1026,400046248,Vila Rica,Dis Vila Rica
1031,400046514,Alice Barbosa extensão,Res. Alice Barbosa extensão
1038,400017192,Cidade Jardim,Cidade Jardim
1048,400046735,,Gleba
1062,400046742,,Gleba
1067,400046415,Condomínio: Res.. Terra Nova I,Gleba
1073,400046354,,Gleba
1074,400046355,,Gleba
1078,400027892,Europa,Jd. Europa
1080,400046199,,Gleba
1092,400033592,Pedro Ludovico,Setor Pedro Ludovico
1098,400046756,,Gleba
7,400046688,,Gleba
8,400046690,,Gleba
4,400046407,Colorado II,Jd. Colorado II
11,400046689,,Gleba
13,400046729,,Gleba
25,400046645,,Gleba
12,400046608,,Cond. Bougainville
15,400046733,,Gleba
18,400046743,,Gleba
23,400046542,,Gleba
94,400046730,,Gleba
54,400046728,,Gleba
95,400046731,,Gleba
96,400046707,,Gleba
73,400046349,,Gleba
82,400046480,,Gleba
109,400046759,,Gleba
110,400046760,,Gleba
99,400046516,,Gleba
189,400046031,,Gleba
194,400046318,,Gleba
326,400046142,Martins Extensão,Vila Martins Extensão
620,400046439,,Gleba
