,tipo,ordem_dia,data,cd_geocmu,municipios,confirmados,li_80,ls_80,li_95,ls_95
170,Obs,4,2020-04-02,5211503,ITUMBIARA,2,NA,NA,NA,NA
171,Obs,16,2020-04-02,5211909,JATAÍ,2,NA,NA,NA,NA
172,Obs,9,2020-04-02,5212501,LUZIÂNIA,1,NA,NA,NA,NA
173,Obs,3,2020-04-02,5216304,PARANAIGUARA,1,NA,NA,NA,NA
174,Obs,16,2020-04-02,5218805,RIO VERDE,7,NA,NA,NA,NA
175,Obs,9,2020-04-02,5220603,SILVÂNIA,1,NA,NA,NA,NA
176,Obs,2,2020-04-02,5221403,TRINDADE,1,NA,NA,NA,NA
177,Obs,10,2020-04-02,5221858,VALPARAÍSO DE GOIÁS,4,NA,NA,NA,NA
178,Obs,16,2020-04-02,5300108,BRASÍLIA,400,NA,NA,NA,NA
179,Obs,17,2020-04-03,52,GOIÁS,87,NA,NA,NA,NA
180,Obs,7,2020-04-03,5200258,ÁGUAS LINDAS DE GOIÁS,1,NA,NA,NA,NA
181,Obs,17,2020-04-03,5201108,ANÁPOLIS,4,NA,NA,NA,NA
182,Obs,17,2020-04-03,5201405,APARECIDA DE GOIÂNIA,4,NA,NA,NA,NA
183,Obs,1,2020-04-03,5203500,BOM JESUS DE GOIÁS,1,NA,NA,NA,NA
184,Obs,3,2020-04-03,5204607,CAMPESTRE DE GOIÁS,1,NA,NA,NA,NA
185,Obs,13,2020-04-03,5205109,CATALÃO,1,NA,NA,NA,NA
186,Obs,3,2020-04-03,5205497,CIDADE OCIDENTAL,1,NA,NA,NA,NA
187,Obs,7,2020-04-03,5208608,GOIANÉSIA,1,NA,NA,NA,NA
188,Obs,17,2020-04-03,5208707,GOIÂNIA,50,NA,NA,NA,NA
189,Obs,5,2020-04-03,5211503,ITUMBIARA,2,NA,NA,NA,NA
190,Obs,17,2020-04-03,5211909,JATAÍ,2,NA,NA,NA,NA
191,Obs,10,2020-04-03,5212501,LUZIÂNIA,1,NA,NA,NA,NA
192,Obs,1,2020-04-03,5215009,NOVA VENEZA,1,NA,NA,NA,NA
193,Obs,4,2020-04-03,5216304,PARANAIGUARA,1,NA,NA,NA,NA
194,Obs,17,2020-04-03,5218805,RIO VERDE,7,NA,NA,NA,NA
195,Obs,1,2020-04-03,5220108,SÃO LUÍS DE MONTES BELOS,1,NA,NA,NA,NA
196,Obs,1,2020-04-03,5220454,SENADOR CANEDO,1,NA,NA,NA,NA
197,Obs,10,2020-04-03,5220603,SILVÂNIA,1,NA,NA,NA,NA
198,Obs,3,2020-04-03,5221403,TRINDADE,1,NA,NA,NA,NA
199,Obs,11,2020-04-03,5221858,VALPARAÍSO DE GOIÁS,5,NA,NA,NA,NA
200,Obs,17,2020-04-03,5300108,BRASÍLIA,422,NA,NA,NA,NA
201,Obs,18,2020-04-04,52,GOIÁS,103,NA,NA,NA,NA
